model,loss,learning_rate,optimizer,num_filters,kernel_sizes,hidden_size,num_layers,num_heads,ffn_dim,train_loss,train_accuracy,validate_loss,validate_accuracy,test_loss,test_accuracy
transformer,cross_entropy_ls,0.0005,adam,-,-,-,1,8,512,1.209614355135649,0.5451480504250953,1.4914259849092186,0.4114888628370457,1.4734407996583756,0.4097914777878513
rnn,cross_entropy_ls,0.0005,adam,-,-,128,2,-,-,1.0193288817639157,0.6603635297566696,1.499408440740838,0.41031652989449,1.4818445197330496,0.43578120278029614
rnn,cross_entropy,0.0005,rmsprop,-,-,256,1,-,-,0.5878462153632982,0.7952213427147464,1.540538462916125,0.41031652989449,1.5314308273788664,0.4300392867935932
rnn,cross_entropy,0.001,adam,-,-,256,2,-,-,0.08002399627421826,0.979478158897684,2.563049113484927,0.41031652989449,2.5924900581052057,0.4173466304019341
transformer,cross_entropy_ls,0.001,adam,-,-,-,2,8,512,0.9141315205011226,0.7421577250073292,1.7849923465903172,0.4097303634232122,1.729825061914531,0.42278634028407375
transformer,cross_entropy,0.0005,rmsprop,-,-,-,1,8,256,1.0729222661831692,0.570067428906479,1.4647787566201769,0.4097303634232122,1.4768385713141503,0.40042308854638864
rnn,cross_entropy_ls,0.001,rmsprop,-,-,256,2,-,-,0.8958589923727796,0.7513925535033714,1.5571759893075243,0.4091441969519343,1.52796797851091,0.4176488365064974
transformer,cross_entropy_ls,0.001,rmsprop,-,-,-,1,4,512,1.225940011981225,0.539284667253005,1.5449426155995931,0.4091441969519343,1.5053294949316842,0.4113025083106679
transformer,cross_entropy,0.001,rmsprop,-,-,-,2,8,256,0.8012850025433385,0.6929053063617707,1.66193439644638,0.4091441969519343,1.6256992912393353,0.41039588999697796
transformer,cross_entropy_ls,0.001,adam,-,-,-,1,4,512,0.949864364987907,0.7248607446496629,1.701937902993921,0.40855803048065653,1.690969912333588,0.4161378059836809
transformer,cross_entropy,0.001,adam,-,-,-,2,4,256,0.7910518231576434,0.6886543535620053,1.6820223232226803,0.40855803048065653,1.6568511273429343,0.4155333937745542
